"Nama Varieti","Gred","Unit","Harga Tinggi","Harga Purata","Harga Rendah","Pusat","Negeri","Tarikh"
"BAWANG MERAH KECIL (THAI)","F.A.Q","KILOGRAM","15.00",14.5,14," JOHOR BAHRU"," JOHOR",2016-01-21
"BAYAM HIJAU","F.A.Q","KILOGRAM","5.00",4.5,4," JOHOR BAHRU"," JOHOR",2016-01-21
"BUNGA KANTAN","F.A.Q","TANGKAI","1.50",1.35,1.2," JOHOR BAHRU"," JOHOR",2016-01-21
"CILI HIJAU","F.A.Q","KILOGRAM","11.00",10.5,10," JOHOR BAHRU"," JOHOR",2016-01-21
"CILI MERAH KULAI","F.A.Q","KILOGRAM","13.00",12,11," JOHOR BAHRU"," JOHOR",2016-01-21
"DAUN BAWANG","F.A.Q","KILOGRAM","6.00",5.5,5," JOHOR BAHRU"," JOHOR",2016-01-21
"DAUN KOBIS/KOBIS PANJANG (TEMPATAN)","F.A.Q","KILOGRAM","6.00",5.5,5," JOHOR BAHRU"," JOHOR",2016-01-21
"DAUN SUP/SADRI CINA TEMPATAN TANAH TINGGI","F.A.Q","KILOGRAM","7.50",7,6.5," JOHOR BAHRU"," JOHOR",2016-01-21
"HALIA MUDA","F.A.Q","KILOGRAM","12.00",11,10," JOHOR BAHRU"," JOHOR",2016-01-21
"HALIA TUA","F.A.Q","KILOGRAM","9.00",8.5,8," JOHOR BAHRU"," JOHOR",2016-01-21
"KACANG BENDI","F.A.Q","KILOGRAM","7.50",7.25,7," JOHOR BAHRU"," JOHOR",2016-01-21
"KACANG BUNCIS","F.A.Q","KILOGRAM","9.50",9,8.5," JOHOR BAHRU"," JOHOR",2016-01-21
"KACANG PANJANG HIJAU","F.A.Q","KILOGRAM","6.50",6,5.5," JOHOR BAHRU"," JOHOR",2016-01-21
"KAILAN","F.A.Q","KILOGRAM","5.50",5,4.5," JOHOR BAHRU"," JOHOR",2016-01-21
"KANGKUNG/KANGKONG","F.A.Q","KILOGRAM","4.50",4.25,4," JOHOR BAHRU"," JOHOR",2016-01-21
"KETOLA SEGI","F.A.Q","KILOGRAM","5.50",5.25,5," JOHOR BAHRU"," JOHOR",2016-01-21
"KOBIS BULAT (CHINA)","F.A.Q","KILOGRAM","4.50",4.25,4," JOHOR BAHRU"," JOHOR",2016-01-21
"KOBIS BULAT (INDONESIA)","F.A.Q","KILOGRAM","3.50",3.25,3," JOHOR BAHRU"," JOHOR",2016-01-21
"KOBIS BULAT (TANAH TINGGI)","F.A.Q","KILOGRAM","4.50",4.25,4," JOHOR BAHRU"," JOHOR",2016-01-21
"LOBAK MERAH (IMPORT)","F.A.Q","KILOGRAM","5.00",4.5,4," JOHOR BAHRU"," JOHOR",2016-01-21
"SALAD BULAT TANAH TINGGI","F.A.Q","KILOGRAM","10.00",9.5,9," JOHOR BAHRU"," JOHOR",2016-01-21
"SALAD TANAH RENDAH","F.A.Q","KILOGRAM","11.00",10.5,10," JOHOR BAHRU"," JOHOR",2016-01-21
"SAWI HIJAU CERAH","F.A.Q","KILOGRAM","5.50",5.25,5," JOHOR BAHRU"," JOHOR",2016-01-21
"TERUNG PEPARU PANJANG TANAH RENDAH","F.A.Q","KILOGRAM","6.50",6.25,6," JOHOR BAHRU"," JOHOR",2016-01-21
"TIMUN HIJAU CERAH","F.A.Q","KILOGRAM","3.00",2.4,1.8," JOHOR BAHRU"," JOHOR",2016-01-21
"TOMATO TANAH TINGGI","F.A.Q","KILOGRAM","5.00",4.5,4," JOHOR BAHRU"," JOHOR",2016-01-21
"AYAM PROSES (STANDARD)","F.A.Q","KILOGRAM","8.00",8,8," KOTA SETAR"," KEDAH",2016-01-21
"AYAM PROSES (SUPER)","F.A.Q","KILOGRAM","8.50",8.5,8.5," KOTA SETAR"," KEDAH",2016-01-21
"BAWANG MERAH KECIL (THAI)","F.A.Q","KILOGRAM","10.00",9,8," KOTA SETAR"," KEDAH",2016-01-21
"BAYAM HIJAU","F.A.Q","KILOGRAM","4.00",3.75,3.5," KOTA SETAR"," KEDAH",2016-01-21
"BELIMBING BESI (B10)","F.A.Q","KILOGRAM","6.50",6.25,6," KOTA SETAR"," KEDAH",2016-01-21
"BETIK","F.A.Q","KILOGRAM","3.50",3.25,3," KOTA SETAR"," KEDAH",2016-01-21
"BETIK HONG KONG / BETIK SEKAKI","F.A.Q","KILOGRAM","3.50",3.25,3," KOTA SETAR"," KEDAH",2016-01-21
"BIRI-BIRI IMPORT BEKU","F.A.Q","KILOGRAM","25.00",24.5,24," KOTA SETAR"," KEDAH",2016-01-21
"BUNGA KANTAN","F.A.Q","TANGKAI","1.50",1.15,0.8," KOTA SETAR"," KEDAH",2016-01-21
"CILI HIJAU","F.A.Q","KILOGRAM","8.00",7.5,7," KOTA SETAR"," KEDAH",2016-01-21
"CILI MERAH KULAI","F.A.Q","KILOGRAM","10.00",10,10," KOTA SETAR"," KEDAH",2016-01-21
"DAGING IMPORT PEJAL (INDIA) - SILVER SIDE","F.A.Q","KILOGRAM","17.00",16.75,16.5," KOTA SETAR"," KEDAH",2016-01-21
"DAGING IMPORT PEJAL (INDIA) - TOP SIDE","F.A.Q","KILOGRAM","17.00",16.75,16.5," KOTA SETAR"," KEDAH",2016-01-21
"DAGING PEJAL","F.A.Q","KILOGRAM","28.00",27,26," KOTA SETAR"," KEDAH",2016-01-21
"DAUN BAWANG","F.A.Q","KILOGRAM","6.00",5.5,5," KOTA SETAR"," KEDAH",2016-01-21
"DAUN KOBIS/KOBIS PANJANG (TEMPATAN)","F.A.Q","KILOGRAM","4.50",4,3.5," KOTA SETAR"," KEDAH",2016-01-21
"DAUN SUP/SADRI CINA TEMPATAN TANAH TINGGI","F.A.Q","KILOGRAM","7.00",6.5,6," KOTA SETAR"," KEDAH",2016-01-21
"EPAL MERAH","SEDANG","BIJI","1.20",1.05,0.9," KOTA SETAR"," KEDAH",2016-01-21
"HALIA MUDA","F.A.Q","KILOGRAM","8.00",7.5,7," KOTA SETAR"," KEDAH",2016-01-21
"HALIA TUA (IMPORT)","F.A.Q","KILOGRAM","7.00",6.5,6," KOTA SETAR"," KEDAH",2016-01-21
"KACANG BENDI","F.A.Q","KILOGRAM","7.00",7,7," KOTA SETAR"," KEDAH",2016-01-21
"KACANG BUNCIS","F.A.Q","KILOGRAM","8.50",8.25,8," KOTA SETAR"," KEDAH",2016-01-21
"KACANG PANJANG HIJAU","F.A.Q","KILOGRAM","5.00",4.5,4," KOTA SETAR"," KEDAH",2016-01-21
"KAILAN","F.A.Q","KILOGRAM","8.00",7,6," KOTA SETAR"," KEDAH",2016-01-21
"KAILAN (IMPORT)","F.A.Q","KILOGRAM","6.00",5.5,5," KOTA SETAR"," KEDAH",2016-01-21
"KAMBING (PEJAL)","F.A.Q","KILOGRAM","40.00",40,40," KOTA SETAR"," KEDAH",2016-01-21
"KANGKUNG/KANGKONG","F.A.Q","KILOGRAM","3.50",3.25,3," KOTA SETAR"," KEDAH",2016-01-21
"KELAPA DIKUPAS","SEDANG","BIJI","2.00",2,2," KOTA SETAR"," KEDAH",2016-01-21
"KELAPA PARUT","F.A.Q","KILOGRAM","6.00",6,6," KOTA SETAR"," KEDAH",2016-01-21
"KETOLA SEGI","F.A.Q","KILOGRAM","4.00",3.5,3," KOTA SETAR"," KEDAH",2016-01-21
"KOBIS BULAT (CHINA)","F.A.Q","KILOGRAM","4.00",3.75,3.5," KOTA SETAR"," KEDAH",2016-01-21
"KOBIS BULAT (INDONESIA)","F.A.Q","KILOGRAM","3.00",2.75,2.5," KOTA SETAR"," KEDAH",2016-01-21
"KOBIS BULAT (TANAH TINGGI)","F.A.Q","KILOGRAM","4.00",3.25,2.5," KOTA SETAR"," KEDAH",2016-01-21
"LOBAK MERAH (IMPORT)","F.A.Q","KILOGRAM","4.00",3.75,3.5," KOTA SETAR"," KEDAH",2016-01-21
"PERIA","F.A.Q","KILOGRAM","5.00",4.5,4," KOTA SETAR"," KEDAH",2016-01-21
"PISANG BERANGAN","F.A.Q","KILOGRAM","4.50",4.25,4," KOTA SETAR"," KEDAH",2016-01-21
"PISANG MONTEL (CAVENDISH)","F.A.Q","KILOGRAM","4.00",4,4," KOTA SETAR"," KEDAH",2016-01-21
"SALAD BULAT TANAH TINGGI","F.A.Q","KILOGRAM","8.00",7.5,7," KOTA SETAR"," KEDAH",2016-01-21
"SALAD TANAH RENDAH","F.A.Q","KILOGRAM","10.00",9.5,9," KOTA SETAR"," KEDAH",2016-01-21
"SANTAN","F.A.Q","KILOGRAM","10.00",9.5,9," KOTA SETAR"," KEDAH",2016-01-21
"SAWI HIJAU CERAH","F.A.Q","KILOGRAM","4.00",3.75,3.5," KOTA SETAR"," KEDAH",2016-01-21
"TELUR AYAM","A","BIJI",".35",0.35,0.34," KOTA SETAR"," KEDAH",2016-01-21
"TELUR AYAM","B","BIJI",".34",0.34,0.33," KOTA SETAR"," KEDAH",2016-01-21
"TELUR AYAM","C","BIJI",".33",0.33,0.32," KOTA SETAR"," KEDAH",2016-01-21
"TEMBIKAI NEW DRAGON","F.A.Q","KILOGRAM","3.50",3.25,3," KOTA SETAR"," KEDAH",2016-01-21
"TERUNG PEPARU PANJANG TANAH RENDAH","F.A.Q","KILOGRAM","5.00",4.5,4," KOTA SETAR"," KEDAH",2016-01-21
"TIMUN HIJAU CERAH","F.A.Q","KILOGRAM","2.20",2.1,2," KOTA SETAR"," KEDAH",2016-01-21
"TOMATO TANAH TINGGI","F.A.Q","KILOGRAM","3.50",3.25,3," KOTA SETAR"," KEDAH",2016-01-21
"UBI KENTANG","F.A.Q","KILOGRAM","3.00",3,3," KOTA SETAR"," KEDAH",2016-01-21
"AYAM PROSES (STANDARD)","F.A.Q","KILOGRAM","8.00",8,8," KOTA BHARU"," KELANTAN",2016-01-21
"AYAM PROSES (SUPER)","F.A.Q","KILOGRAM","8.50",8.5,8.5," KOTA BHARU"," KELANTAN",2016-01-21
"BETIK","F.A.Q","KILOGRAM","3.00",3,3," KOTA BHARU"," KELANTAN",2016-01-21
"BUNGA KANTAN","F.A.Q","TANGKAI","2.00",2,2," KOTA BHARU"," KELANTAN",2016-01-21
"CILI MERAH KULAI","F.A.Q","KILOGRAM","8.00",8,8," KOTA BHARU"," KELANTAN",2016-01-21
"DAGING IMPORT PEJAL (INDIA) - SILVER SIDE","F.A.Q","KILOGRAM","17.00",17,17," KOTA BHARU"," KELANTAN",2016-01-21
"DAGING IMPORT PEJAL (INDIA) - TOP SIDE","F.A.Q","KILOGRAM","17.00",17,17," KOTA BHARU"," KELANTAN",2016-01-21
"DAGING PEJAL","F.A.Q","KILOGRAM","26.00",26,26," KOTA BHARU"," KELANTAN",2016-01-21
"DAUN BAWANG","F.A.Q","KILOGRAM","5.00",5,5," KOTA BHARU"," KELANTAN",2016-01-21
"DAUN KOBIS/KOBIS PANJANG (TEMPATAN)","F.A.Q","KILOGRAM","4.00",3.75,3.5," KOTA BHARU"," KELANTAN",2016-01-21
"DAUN SUP/SADRI CINA TEMPATAN TANAH TINGGI","F.A.Q","KILOGRAM","6.00",6,6," KOTA BHARU"," KELANTAN",2016-01-21
"EPAL MERAH","SEDANG","BIJI",".80",0.8,0.8," KOTA BHARU"," KELANTAN",2016-01-21
"HALIA MUDA (IMPORT)","F.A.Q","KILOGRAM","7.00",6.75,6.5," KOTA BHARU"," KELANTAN",2016-01-21
"HALIA TUA","F.A.Q","KILOGRAM","7.00",7,7," KOTA BHARU"," KELANTAN",2016-01-21
"HALIA TUA (IMPORT)","F.A.Q","KILOGRAM","7.00",6.75,6.5," KOTA BHARU"," KELANTAN",2016-01-21
"KACANG BENDI","F.A.Q","KILOGRAM","5.00",5,5," KOTA BHARU"," KELANTAN",2016-01-21
"KACANG BUNCIS","F.A.Q","KILOGRAM","5.00",5,5," KOTA BHARU"," KELANTAN",2016-01-21
"KACANG PANJANG HIJAU","F.A.Q","KILOGRAM","4.00",4,4," KOTA BHARU"," KELANTAN",2016-01-21
"KAILAN (IMPORT)","F.A.Q","KILOGRAM","4.00",4,4," KOTA BHARU"," KELANTAN",2016-01-21
"KAMBING (PEJAL)","F.A.Q","KILOGRAM","38.00",38,38," KOTA BHARU"," KELANTAN",2016-01-21
"KANGKUNG/KANGKONG","F.A.Q","KILOGRAM","2.50",2.5,2.5," KOTA BHARU"," KELANTAN",2016-01-21
"KELAPA DIKUPAS","SEDANG","BIJI","1.60",1.6,1.6," KOTA BHARU"," KELANTAN",2016-01-21
"KELAPA PARUT","F.A.Q","KILOGRAM","5.00",5,5," KOTA BHARU"," KELANTAN",2016-01-21
"KETOLA SEGI","F.A.Q","KILOGRAM","2.00",2,2," KOTA BHARU"," KELANTAN",2016-01-21
"KOBIS BULAT (TANAH TINGGI)","F.A.Q","KILOGRAM","3.00",3,3," KOTA BHARU"," KELANTAN",2016-01-21
"LOBAK MERAH (IMPORT)","F.A.Q","KILOGRAM","3.00",3,3," KOTA BHARU"," KELANTAN",2016-01-21
"PERIA","F.A.Q","KILOGRAM","5.00",5,5," KOTA BHARU"," KELANTAN",2016-01-21
"PISANG BERANGAN","F.A.Q","KILOGRAM","4.50",4.5,4.5," KOTA BHARU"," KELANTAN",2016-01-21
"SALAD BULAT TANAH TINGGI","F.A.Q","KILOGRAM","5.00",5,5," KOTA BHARU"," KELANTAN",2016-01-21
"SALAD TANAH RENDAH","F.A.Q","KILOGRAM","8.00",8,8," KOTA BHARU"," KELANTAN",2016-01-21
"SANTAN","F.A.Q","KILOGRAM","8.00",8,8," KOTA BHARU"," KELANTAN",2016-01-21
"SAWI HIJAU CERAH","F.A.Q","KILOGRAM","3.00",3,3," KOTA BHARU"," KELANTAN",2016-01-21
"TELUR AYAM","B","BIJI",".33",0.33,0.33," KOTA BHARU"," KELANTAN",2016-01-21
"TERUNG PEPARU PANJANG TANAH RENDAH","F.A.Q","KILOGRAM","4.50",4.25,4," KOTA BHARU"," KELANTAN",2016-01-21
"TIMUN HIJAU CERAH","F.A.Q","KILOGRAM","2.50",2.25,2," KOTA BHARU"," KELANTAN",2016-01-21
"TOMATO TANAH TINGGI","F.A.Q","KILOGRAM","3.00",3,3," KOTA BHARU"," KELANTAN",2016-01-21
"UBI KENTANG","F.A.Q","KILOGRAM","3.50",3.5,3.5," KOTA BHARU"," KELANTAN",2016-01-21
"AYAM PROSES (STANDARD)","F.A.Q","KILOGRAM","8.50",8.35,8.2," MELAKA TENGAH"," MELAKA",2016-01-21
"BAWANG MERAH KECIL (THAI)","F.A.Q","KILOGRAM","13.00",12.5,12," MELAKA TENGAH"," MELAKA",2016-01-21
"BAYAM HIJAU","F.A.Q","KILOGRAM","3.00",2.75,2.5," MELAKA TENGAH"," MELAKA",2016-01-21
"BELIMBING BESI (B10)","F.A.Q","KILOGRAM","3.50",3.25,3," MELAKA TENGAH"," MELAKA",2016-01-21
"BELIMBING BESI B17/MADU","F.A.Q","KILOGRAM","4.00",3.9,3.8," MELAKA TENGAH"," MELAKA",2016-01-21
"BETIK","F.A.Q","KILOGRAM","3.50",3.25,3," MELAKA TENGAH"," MELAKA",2016-01-21
"BIRI-BIRI IMPORT BEKU","F.A.Q","KILOGRAM","24.00",24,24," MELAKA TENGAH"," MELAKA",2016-01-21
"CILI HIJAU","F.A.Q","KILOGRAM","10.00",9.25,8.5," MELAKA TENGAH"," MELAKA",2016-01-21
"CILI MERAH KULAI","F.A.Q","KILOGRAM","12.00",11.5,11," MELAKA TENGAH"," MELAKA",2016-01-21
"DAGING IMPORT PEJAL (INDIA) - SILVER SIDE","F.A.Q","KILOGRAM","12.00",11.75,11.5," MELAKA TENGAH"," MELAKA",2016-01-21
"DAGING IMPORT PEJAL (INDIA) - TOP SIDE","F.A.Q","KILOGRAM","14.50",14.25,14," MELAKA TENGAH"," MELAKA",2016-01-21
"DAGING PEJAL","F.A.Q","KILOGRAM","26.00",25.5,25," MELAKA TENGAH"," MELAKA",2016-01-21
"DAUN BAWANG","F.A.Q","KILOGRAM","8.00",7.5,7," MELAKA TENGAH"," MELAKA",2016-01-21
"DAUN KOBIS/KOBIS PANJANG (TEMPATAN)","F.A.Q","KILOGRAM","4.00",3.5,3," MELAKA TENGAH"," MELAKA",2016-01-21
"DAUN SUP/SADRI CINA TEMPATAN TANAH TINGGI","F.A.Q","KILOGRAM","8.00",7.5,7," MELAKA TENGAH"," MELAKA",2016-01-21
"EPAL MERAH","SEDANG","BIJI","1.20",1.1,1," MELAKA TENGAH"," MELAKA",2016-01-21
"HALIA MUDA","F.A.Q","KILOGRAM","9.00",8.5,8," MELAKA TENGAH"," MELAKA",2016-01-21
"HALIA TUA","F.A.Q","KILOGRAM","8.50",8,7.5," MELAKA TENGAH"," MELAKA",2016-01-21
"KACANG BENDI","F.A.Q","KILOGRAM","5.00",4.5,4," MELAKA TENGAH"," MELAKA",2016-01-21
"KACANG BUNCIS","F.A.Q","KILOGRAM","8.00",7.75,7.5," MELAKA TENGAH"," MELAKA",2016-01-21
"KACANG PANJANG HIJAU","F.A.Q","KILOGRAM","5.00",4.75,4.5," MELAKA TENGAH"," MELAKA",2016-01-21
"KAILAN","F.A.Q","KILOGRAM","6.50",6,5.5," MELAKA TENGAH"," MELAKA",2016-01-21
"KAMBING (PEJAL)","F.A.Q","KILOGRAM","32.00",32,32," MELAKA TENGAH"," MELAKA",2016-01-21
"KANGKUNG/KANGKONG","F.A.Q","KILOGRAM","3.00",2.75,2.5," MELAKA TENGAH"," MELAKA",2016-01-21
"KELAPA DIKUPAS","BESAR","BIJI","1.80",1.7,1.6," MELAKA TENGAH"," MELAKA",2016-01-21
"KELAPA PARUT","F.A.Q","KILOGRAM","6.00",6,6," MELAKA TENGAH"," MELAKA",2016-01-21
"KETOLA SEGI","F.A.Q","KILOGRAM","4.00",3.5,3," MELAKA TENGAH"," MELAKA",2016-01-21
"KOBIS BULAT (CHINA)","F.A.Q","KILOGRAM","4.00",3.75,3.5," MELAKA TENGAH"," MELAKA",2016-01-21
"KOBIS BULAT (INDONESIA)","F.A.Q","KILOGRAM","3.00",2.75,2.5," MELAKA TENGAH"," MELAKA",2016-01-21
"KOBIS BULAT (TANAH TINGGI)","F.A.Q","KILOGRAM","3.50",3,2.5," MELAKA TENGAH"," MELAKA",2016-01-21
"LOBAK MERAH (IMPORT)","F.A.Q","KILOGRAM","5.80",5.4,5," MELAKA TENGAH"," MELAKA",2016-01-21
"LOBAK MERAH (TEMPATAN)","F.A.Q","KILOGRAM","5.50",5.25,5," MELAKA TENGAH"," MELAKA",2016-01-21
"PERIA","F.A.Q","KILOGRAM","5.50",5,4.5," MELAKA TENGAH"," MELAKA",2016-01-21
"PISANG BERANGAN","F.A.Q","KILOGRAM","4.50",4.25,4," MELAKA TENGAH"," MELAKA",2016-01-21
"PISANG MONTEL (CAVENDISH)","F.A.Q","KILOGRAM","4.50",4.25,4," MELAKA TENGAH"," MELAKA",2016-01-21
"SALAD BULAT TANAH TINGGI","F.A.Q","KILOGRAM","8.00",7.6,7.2," MELAKA TENGAH"," MELAKA",2016-01-21
"SALAD TANAH RENDAH","F.A.Q","KILOGRAM","7.00",6.5,6," MELAKA TENGAH"," MELAKA",2016-01-21
"SANTAN","F.A.Q","KILOGRAM","8.00",7.75,7.5," MELAKA TENGAH"," MELAKA",2016-01-21
"SAWI HIJAU CERAH","F.A.Q","KILOGRAM","5.50",5,4.5," MELAKA TENGAH"," MELAKA",2016-01-21
"TELUR AYAM","A","BIJI",".38",0.38,0.38," MELAKA TENGAH"," MELAKA",2016-01-21
"TELUR AYAM","B","BIJI",".37",0.37,0.37," MELAKA TENGAH"," MELAKA",2016-01-21
"TELUR AYAM","C","BIJI",".36",0.36,0.36," MELAKA TENGAH"," MELAKA",2016-01-21
"TEMBIKAI NEW DRAGON","F.A.Q","KILOGRAM","2.80",2.65,2.5," MELAKA TENGAH"," MELAKA",2016-01-21
"TERUNG PEPARU PANJANG TANAH RENDAH","F.A.Q","KILOGRAM","6.00",5.5,5," MELAKA TENGAH"," MELAKA",2016-01-21
"TIMUN HIJAU CERAH","F.A.Q","KILOGRAM","2.50",2.35,2.2," MELAKA TENGAH"," MELAKA",2016-01-21
"TOMATO TANAH TINGGI","F.A.Q","KILOGRAM","5.00",4.5,4," MELAKA TENGAH"," MELAKA",2016-01-21
"UBI KENTANG","F.A.Q","KILOGRAM","3.00",3,3," MELAKA TENGAH"," MELAKA",2016-01-21
"AYAM PROSES (STANDARD)","F.A.Q","KILOGRAM","9.00",8.75,8.5," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
"BAWANG MERAH KECIL (THAI)","F.A.Q","KILOGRAM","12.00",11,10," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
"BAYAM HIJAU","F.A.Q","KILOGRAM","4.00",3.75,3.5," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
"BELIMBING BESI (B10)","F.A.Q","KILOGRAM","5.00",5,5," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
"BELIMBING BESI B17/MADU","F.A.Q","KILOGRAM","6.00",6,6," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
"BETIK","F.A.Q","KILOGRAM","3.50",3.5,3.5," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
"BIRI-BIRI IMPORT BEKU","F.A.Q","KILOGRAM","18.00",17.5,17," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
"BUNGA KANTAN","F.A.Q","TANGKAI","1.30",1.25,1.2," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
"CILI HIJAU","F.A.Q","KILOGRAM","7.00",6.5,6," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
"CILI MERAH KULAI","F.A.Q","KILOGRAM","12.00",11,10," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
"DAGING IMPORT PEJAL (INDIA) - SILVER SIDE","F.A.Q","KILOGRAM","13.00",13,13," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
"DAGING IMPORT PEJAL (INDIA) - TOP SIDE","F.A.Q","KILOGRAM","14.00",14,14," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
"DAGING PEJAL","F.A.Q","KILOGRAM","30.00",29.5,29," SEREMBAN"," NEGERI SEMBILAN",2016-01-21
